Atlas_A_index,Atlas_B_index,Dice_Coefficient
184,328,1
147,263,0.98401
190,312,0.97688
199,313,0.9667
54,129,0.95349
153,274,0.94067
42,15,0.94011
151,256,0.92338
182,331,0.91036
69,137,0.90503
60,172,0.89081
176,195,0.88752
70,133,0.8861
138,245,0.88333
8,171,0.87975
11,83,0.87371
218,220,0.86395
21,78,0.86317
143,257,0.85186
142,269,0.84736
148,250,0.84513
86,31,0.84461
156,254,0.84356
10,69,0.84192
222,211,0.82319
83,180,0.81133
52,131,0.80703
166,276,0.80473
32,96,0.79744
173,282,0.79366
188,303,0.79107
168,294,0.788
56,134,0.78787
90,30,0.78483
181,327,0.78063
137,273,0.77696
169,289,0.77477
134,345,0.77048
170,347,0.75859
16,75,0.75793
149,253,0.75264
9,86,0.75123
1,90,0.73579
12,70,0.73094
63,130,0.7235
150,243,0.71099
205,301,0.71097
179,232,0.70981
47,148,0.70599
7,77,0.70127
4,93,0.70078
198,343,0.69947
59,135,0.69805
5,64,0.69737
155,349,0.69627
64,176,0.69419
49,151,0.69127
55,177,0.68992
219,359,0.68899
197,356,0.6887
67,7,0.68488
161,221,0.6805
175,222,0.67859
225,341,0.67814
91,27,0.6777
6,72,0.67143
19,81,0.67138
71,18,0.67069
14,67,0.66679
50,140,0.66613
48,149,0.65137
22,79,0.6643
2,93,0.53505
41,47,0.65878
157,258,0.64516
162,206,0.64508
27,10,0.64306
31,80,0.64247
29,26,0.64126
186,311,0.64045
53,132,0.6381
26,54,0.63552
65,139,0.63498
193,357,0.63319
30,96,0.49064
140,244,0.62857
223,214,0.62645
23,100,0.34723
145,252,0.57042
221,239,0.61798
20,169,0.61644
3,93,0.52478
183,330,0.61343
25,41,0.61243
37,167,0.6085
154,262,0.60375
144,266,0.60333
24,8,0.41863
77,4,0.28863
178,225,0.59811
36,94,0.59527
165,192,0.36698
13,84,0.53661
92,110,0.58596
163,279,0.4367
15,59,0.47542
73,158,0.57914
45,52,0.57501
210,201,0.57426
89,40,0.57418
200,198,0.57368
180,281,0.57341
209,337,0.57173
74,138,0.57118
17,66,0.44248
141,252,0.4684
38,117,0.56832
203,323,0.56823
18,92,0.45782
146,264,0.56696
35,113,0.56632
177,325,0.56622
40,168,0.56187
28,63,0.52952
235,302,0.55751
34,109,0.55613
152,246,0.55522
191,305,0.4109
82,1,0.54863
44,45,0.54809
192,310,0.54752
139,271,0.50421
98,121,0.54516
33,51,0.48774
97,122,0.53467
167,234,0.53301
39,9,0.38256
234,302,0.35831
43,145,0.47655
171,232,0.45478
68,153,0.52756
46,104,0.44937
204,338,0.51969
233,299,0.51949
72,153,0.40469
207,334,0.51638
51,131,0.55582
57,172,0.508
58,135,0.65471
61,175,0.44372
202,352,0.50451
62,104,0.42498
164,276,0.53046
94,120,0.50194
66,136,0.3186
75,13,0.33809
194,314,0.49587
136,344,0.39056
76,6,0.33991
124,106,0.084016
78,1,0.29224
79,4,0.28259
80,1,0.27581
81,21,0.39332
206,198,0.52668
93,120,0.14543
119,163,0.2611
84,58,0.44796
85,34,0.3328
87,121,0.24556
88,32,0.29536
95,119,0.42747
96,122,0.36707
99,120,0.11543
100,328,0
101,4,0.043662
228,290,0.46616
102,4,0.023261
103,126,0.016474
104,328,0
208,193,0.45293
105,328,0
231,300,0.40252
125,166,0.30277
158,188,0.45402
212,181,0.45316
215,181,0.35779
106,4,0.028668
107,328,0
108,328,0
109,328,0
110,154,0.070354
220,238,0.34942
201,316,0.44771
111,4,0.00066765
135,272,0.43254
112,328,0
113,328,0
114,328,0
115,328,0
116,328,0
117,328,0
226,217,0.44018
118,328,0
120,14,0.016442
121,328,0
122,328,0
159,189,0.31352
123,164,0.14445
261,291,0.0094364
259,346,0.22449
160,235,0.42756
126,119,0.16982
127,328,0
128,328,0
241,186,0.041079
129,328,0
130,328,0
213,185,0.42003
131,328,0
132,328,0
174,188,0.4399
133,328,0
172,189,0.27571
185,311,0.348
187,311,0.38452
189,311,0.31535
195,302,0.41114
196,314,0.37543
224,212,0.26384
211,181,0.24937
214,181,0.33729
216,181,0.090301
217,328,0
227,194,0.20437
229,300,0.049204
230,340,0.31469
232,307,0.35317
236,328,0
237,328,0
238,198,0.16892
239,328,0
245,343,0.14875
240,328,0
242,328,0
243,328,0
244,299,0.11445
246,328,0
247,185,0.009059
248,185,0.090751
249,328,0
250,328,0
251,306,0.079999
252,328,0
253,186,0.0013446
254,334,0.11496
255,328,0
256,328,0
257,328,0
258,328,0
260,328,0
262,328,0
263,328,0
264,328,0
265,299,0.027424
266,328,0
267,328,0
268,298,0.016364
