Atlas_B_index,Atlas_A_index,Dice_Coefficient
328,184,1
263,147,0.98401
312,190,0.97688
313,199,0.9667
129,54,0.95349
274,153,0.94067
15,42,0.94011
256,151,0.92338
331,182,0.91036
137,69,0.90503
172,60,0.89081
195,176,0.88752
133,70,0.8861
245,138,0.88333
171,8,0.87975
83,11,0.87371
220,218,0.86395
78,21,0.86317
257,143,0.85186
269,142,0.84736
250,148,0.84513
31,86,0.84461
254,156,0.84356
69,10,0.84192
211,222,0.82319
180,83,0.81133
131,52,0.80703
276,166,0.80473
96,32,0.79744
282,173,0.79366
303,188,0.79107
294,168,0.788
134,56,0.78787
30,90,0.78483
327,181,0.78063
273,137,0.77696
289,169,0.77477
345,134,0.77048
347,170,0.75859
75,16,0.75793
253,149,0.75264
86,9,0.75123
90,1,0.73579
70,12,0.73094
130,63,0.7235
243,150,0.71099
301,205,0.71097
232,179,0.70981
148,47,0.70599
77,7,0.70127
93,4,0.70078
343,198,0.69947
135,59,0.69805
64,5,0.69737
349,155,0.69627
176,64,0.69419
151,49,0.69127
177,55,0.68992
359,219,0.68899
356,197,0.6887
7,67,0.68488
221,161,0.6805
222,175,0.67859
341,225,0.67814
27,91,0.6777
72,6,0.67143
81,19,0.67138
18,71,0.67069
67,14,0.66679
140,50,0.66613
149,47,0.6654
79,22,0.6643
85,9,0.66182
47,41,0.65878
258,157,0.64516
206,162,0.64508
10,27,0.64306
80,31,0.64247
26,29,0.64126
311,186,0.64045
132,53,0.6381
54,26,0.63552
139,65,0.63498
357,193,0.63319
44,29,0.62936
244,140,0.62857
214,223,0.62645
56,21,0.62627
242,219,0.62525
239,221,0.61798
169,20,0.61644
150,50,0.61539
330,183,0.61343
41,25,0.61243
167,37,0.6085
262,154,0.60375
266,144,0.60333
55,26,0.60319
210,225,0.59871
225,178,0.59811
94,36,0.59527
247,149,0.59091
82,19,0.58845
110,92,0.58596
308,197,0.58105
351,143,0.58033
158,73,0.57914
52,45,0.57501
201,210,0.57426
40,89,0.57418
198,200,0.57368
281,180,0.57341
337,209,0.57173
138,74,0.57118
61,5,0.57087
252,145,0.57042
117,38,0.56832
323,203,0.56823
348,173,0.5671
264,146,0.56696
113,35,0.56632
325,177,0.56622
